"title","length","year","genre"
"Toy Story",81,1995,"animation"
"A Bug's Life",95,1998,"animation"
"Toy Story 2",92,1999,"animation"
"Monsters, Inc.",92,2001,"animation"
"Finding Nemo",100,2003,"animation"
"The Incredibles",115,2004,"action"
"Cars",117,2006,"sport"
"Ratatouille",111,2007,"animation"
"WALL-E",98,2008,"animation"
"Up",96,2009,"animation"
"Toy Story 3",103,2010,"drama"
"Cars 2",106,2011,"animation"
"Brave",93,2012,"animation"
"Monsters University",104,2013,"animation"
"Inside Out",95,2015,"animation"
"The Good Dinosaur",93,2015,"animation"
"Finding Dory",97,2016,"animation"
"Cars 3",102,2017,"animation"
"Coco",105,2017,"music"
"Incredibles 2",118,2018,"animation"
"Toy Story 4",100,2019,"animation"
"Onward",102,2020,"animation"
"Soul",100,2020,"animation"
"Luca",151,2021,"animation"